label,lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62
M,0.8142150044441223,0.7385238409042358,-7.507458690270141e-07,0.7411134839057922,0.6650230884552002,-0.02771754562854767,0.7312143445014954,0.5194164514541626,-0.043291207402944565,0.7995393872261047,0.432343065738678,-0.06017128750681877,0.854045569896698,0.36667490005493164,-0.07421030849218369,0.7210825681686401,0.42840176820755005,-0.011460645124316216,0.7058786749839783,0.33735358715057373,-0.05699552968144417,0.7100256681442261,0.4232518970966339,-0.08913072943687439,0.7185837030410767,0.505881130695343,-0.10422439128160477,0.7830082178115845,0.42176806926727295,-0.019575921818614006,0.7631403803825378,0.30714190006256104,-0.06495700776576996,0.7580174803733826,0.4065417945384979,-0.08500637859106064,0.7616029977798462,0.49935656785964966,-0.08724166452884674,0.8466914296150208,0.44057679176330566,-0.034802500158548355,0.8351185917854309,0.31942856311798096,-0.08003009855747223,0.8164253830909729,0.42567116022109985,-0.08156134188175201,0.8058450818061829,0.5162632465362549,-0.07178240269422531,0.9070882797241211,0.4766116142272949,-0.05229433625936508,0.8738424181938171,0.4302128851413727,-0.08802208304405212,0.8438766598701477,0.5181509852409363,-0.08586838841438293,0.8280695676803589,0.5870225429534912,-0.07651462405920029
M,0.8107174634933472,0.7408109903335571,-7.578479994663212e-07,0.7394595146179199,0.6709307432174683,-0.027551952749490738,0.7317715287208557,0.5223733186721802,-0.042724110186100006,0.8036753535270691,0.43755343556404114,-0.05840636417269707,0.8587408661842346,0.37344592809677124,-0.07139221578836441,0.7201085686683655,0.42960262298583984,-0.01310900878161192,0.7041535973548889,0.3429248631000519,-0.0577208548784256,0.7081374526023865,0.4286932647228241,-0.09001894295215607,0.7167452573776245,0.5133744478225708,-0.1053934171795845,0.7813601493835449,0.42194026708602905,-0.020947592332959175,0.76124107837677,0.3127674162387848,-0.06442594528198242,0.7563732862472534,0.4111792743206024,-0.08387090265750885,0.7594234347343445,0.504890501499176,-0.0864512100815773,0.8444592952728271,0.4402199387550354,-0.035713378340005875,0.8357265591621399,0.32245099544525146,-0.07896168529987335,0.8175805807113647,0.427001029253006,-0.08031878620386124,0.8058571815490723,0.5168549418449402,-0.07169198989868164,0.9033859372138977,0.47664812207221985,-0.05281122773885727,0.8727149367332458,0.43860650062561035,-0.08839225023984909,0.8433940410614014,0.5315062999725342,-0.08632006496191025,0.8268357515335083,0.6021024584770203,-0.07752789556980133
M,0.8120880126953125,0.7487924098968506,-7.691759833505785e-07,0.741027295589447,0.677123486995697,-0.027570120990276337,0.7303261160850525,0.5307988524436951,-0.04256069287657738,0.7962969541549683,0.4432693123817444,-0.05813593789935112,0.8489290475845337,0.37624210119247437,-0.0707988366484642,0.7183017730712891,0.44074681401252747,-0.011235600337386131,0.7041984796524048,0.351235032081604,-0.05521692335605621,0.7071436643600464,0.4341176450252533,-0.08739948272705078,0.712748646736145,0.5178129076957703,-0.10308806598186493,0.7779062986373901,0.43017980456352234,-0.01885577104985714,0.7592931389808655,0.32238221168518066,-0.06263374537229538,0.7545672655105591,0.4208305776119232,-0.08285053819417953,0.7545755505561829,0.5141404867172241,-0.0861491858959198,0.8403648138046265,0.445040762424469,-0.033413372933864594,0.8305416703224182,0.32935425639152527,-0.07620836049318314,0.8146529793739319,0.4313228726387024,-0.07818886637687683,0.8025109171867371,0.5197957754135132,-0.07043197751045227,0.8995316624641418,0.4792040288448334,-0.050387464463710785,0.8696984648704529,0.44350290298461914,-0.08543834835290909,0.84315025806427,0.5355069637298584,-0.08391647040843964,0.8270871639251709,0.6053297519683838,-0.07598208636045456
M,0.8131527900695801,0.743274986743927,-7.667752583984111e-07,0.7412736415863037,0.6723490953445435,-0.02860860899090767,0.7310293912887573,0.5227915644645691,-0.04356374591588974,0.7990849018096924,0.4353744089603424,-0.05900399759411812,0.8517117500305176,0.3687252402305603,-0.0712176188826561,0.7181444764137268,0.43401825428009033,-0.0120652224868536,0.7051703333854675,0.3444756865501404,-0.05551348254084587,0.7087730765342712,0.4301612973213196,-0.08683893829584122,0.715732991695404,0.5132547616958618,-0.10211127251386642,0.7786564826965332,0.421682208776474,-0.01894465461373329,0.7610092759132385,0.31471794843673706,-0.06191100925207138,0.7570412158966064,0.4168063700199127,-0.08081405609846115,0.7591276168823242,0.5094488859176636,-0.08335814625024796,0.8416157960891724,0.4353843927383423,-0.032942790538072586,0.8321493864059448,0.3194858133792877,-0.0746820792555809,0.8155815601348877,0.42587098479270935,-0.07528173178434372,0.8043781518936157,0.5159744024276733,-0.0667307898402214,0.9010855555534363,0.4680043160915375,-0.04961702972650528,0.8712072372436523,0.43189483880996704,-0.08374292403459549,0.844373881816864,0.5244563221931458,-0.08204223960638046,0.8296222686767578,0.5936636924743652,-0.07411310076713562
M,0.8144314885139465,0.7372869849205017,-7.785498041812389e-07,0.7406857013702393,0.6686052083969116,-0.027710067108273506,0.7284324169158936,0.5221277475357056,-0.04273568466305733,0.795041561126709,0.43431031703948975,-0.0591677650809288,0.8498057126998901,0.3688581585884094,-0.07229205965995789,0.7196481823921204,0.43305274844169617,-0.01159384474158287,0.7063477039337158,0.340413361787796,-0.05585653707385063,0.709448516368866,0.4259185492992401,-0.08644884824752808,0.7160598635673523,0.5085819959640503,-0.10075117647647858,0.7800599932670593,0.42262518405914307,-0.019127363339066505,0.7638893723487854,0.31014561653137207,-0.06353159993886948,0.7584421634674072,0.41231879591941833,-0.08128754794597626,0.7599806785583496,0.5047665238380432,-0.08226587623357773,0.8425636887550354,0.4376233220100403,-0.03391709551215172,0.8340486288070679,0.31737858057022095,-0.07685898244380951,0.8163537383079529,0.4232897162437439,-0.0763792097568512,0.8056331872940063,0.5127882361412048,-0.0660691112279892,0.9023756980895996,0.47073063254356384,-0.05130172520875931,0.8759997487068176,0.4230419099330902,-0.08489743620157242,0.8471491932868958,0.5097160935401917,-0.08229944854974747,0.8307498097419739,0.5780743360519409,-0.07339828461408615
M,0.8100968599319458,0.7306517362594604,-7.695006161156925e-07,0.7385748028755188,0.6615628004074097,-0.029923561960458755,0.7326496839523315,0.5133277773857117,-0.04634266719222069,0.8080167770385742,0.43143054842948914,-0.06218499317765236,0.8642737865447998,0.36735814809799194,-0.07550264149904251,0.7216794490814209,0.4202456474304199,-0.0173990186303854,0.7049963474273682,0.3344976305961609,-0.0631537064909935,0.708885908126831,0.42171511054039,-0.09643082320690155,0.7168848514556885,0.5055621266365051,-0.11278277635574341,0.7836111783981323,0.41277652978897095,-0.02378818579018116,0.7609312534332275,0.30476921796798706,-0.06903456151485443,0.756479799747467,0.4043276906013489,-0.08996951580047607,0.7587504386901855,0.49818000197410583,-0.09383957833051682,0.8466266989707947,0.4306030869483948,-0.037045691162347794,0.8360023498535156,0.3161196708679199,-0.08162260800600052,0.8187612295150757,0.41858598589897156,-0.08583804219961166,0.8056055307388306,0.5075922608375549,-0.07971753925085068,0.904931902885437,0.4659937918186188,-0.05271244794130325,0.8718807101249695,0.43941760063171387,-0.09053649753332138,0.8434295058250427,0.5355508923530579,-0.09164658933877945,0.826056718826294,0.6061697602272034,-0.08549397438764572
M,0.8089469075202942,0.727447509765625,-7.696610282437177e-07,0.7390022277832031,0.6602778434753418,-0.029009507969021797,0.7324231863021851,0.5103965401649475,-0.044383250176906586,0.805774450302124,0.427681565284729,-0.05937384441494942,0.8612839579582214,0.36465391516685486,-0.07159971445798874,0.7222782373428345,0.42044252157211304,-0.016534827649593353,0.7089561223983765,0.333217978477478,-0.06050458177924156,0.7126976251602173,0.4188888669013977,-0.09262844175100327,0.7194951772689819,0.5031809210777283,-0.10848379880189896,0.783734917640686,0.4128461182117462,-0.02256595715880394,0.7616338133811951,0.30456364154815674,-0.06623227894306183,0.7580617666244507,0.4017963409423828,-0.08665383607149124,0.7595371007919312,0.4961216151714325,-0.09049580246210098,0.8467536568641663,0.4296788275241852,-0.03523014485836029,0.8359736800193787,0.3137262165546417,-0.07839784026145935,0.8201233744621277,0.4164719581604004,-0.0820750966668129,0.8063393831253052,0.5081783533096313,-0.07582886517047882,0.9059236645698547,0.4641696512699127,-0.050255149602890015,0.8741174936294556,0.4387838542461395,-0.08763008564710617,0.8453783392906189,0.5340708494186401,-0.08910714834928513,0.82633376121521,0.6060451865196228,-0.0832807719707489
M,0.8116175532341003,0.7306859493255615,-7.64992705626355e-07,0.7398131489753723,0.6601849794387817,-0.02906426601111889,0.7324928045272827,0.5124660730361938,-0.04474632814526558,0.8060533404350281,0.4282636344432831,-0.06042790040373802,0.8613842129707336,0.3633491098880768,-0.07337168604135513,0.7212026119232178,0.4203703999519348,-0.014934038743376732,0.7069997787475586,0.33223599195480347,-0.058934491127729416,0.7105345726013184,0.4190489649772644,-0.09059170633554459,0.7178369760513306,0.5012882947921753,-0.10608868300914764,0.7837989926338196,0.41424018144607544,-0.02181653492152691,0.7623050212860107,0.30293262004852295,-0.06544201076030731,0.7577425837516785,0.4018365740776062,-0.08553743362426758,0.7600429058074951,0.49431562423706055,-0.08888950198888779,0.8471169471740723,0.43344610929489136,-0.03551381081342697,0.8372815251350403,0.3136507272720337,-0.08010303229093552,0.8199193477630615,0.41853204369544983,-0.08333451300859451,0.8074378967285156,0.5086797475814819,-0.07585645467042923,0.9062350988388062,0.47075456380844116,-0.05137430131435394,0.8746033310890198,0.4330189526081085,-0.08918266743421555,0.8461663126945496,0.5261146426200867,-0.08909078687429428,0.8290506601333618,0.5971105098724365,-0.0815725103020668
M,0.8110414147377014,0.724791944026947,-7.708987936894118e-07,0.7392226457595825,0.6562194228172302,-0.029360158368945122,0.7318050861358643,0.5087066292762756,-0.045442432165145874,0.8069781064987183,0.42777663469314575,-0.06129832565784454,0.8633793592453003,0.3655529022216797,-0.07449457794427872,0.7215439677238464,0.41862326860427856,-0.017161309719085693,0.7076306939125061,0.3312009572982788,-0.06110483407974243,0.7107172012329102,0.4177091717720032,-0.09209023416042328,0.7180259227752686,0.5004366636276245,-0.10704386979341507,0.7829359769821167,0.41113317012786865,-0.02335001714527607,0.762769877910614,0.30192798376083374,-0.06712270528078079,0.7583696842193604,0.4019908905029297,-0.08579618483781815,0.7613750696182251,0.4956103265285492,-0.08800841867923737,0.8455984592437744,0.4280720353126526,-0.03634275496006012,0.8364823460578918,0.311901330947876,-0.08015532046556473,0.8196113705635071,0.415038526058197,-0.08297866582870483,0.8082911372184753,0.5044656991958618,-0.07554478943347931,0.904973566532135,0.4622895419597626,-0.05164024978876114,0.8733376264572144,0.4284588098526001,-0.08903598040342331,0.8444835543632507,0.522358775138855,-0.08951999247074127,0.8276593685150146,0.5939899682998657,-0.08261452615261078
M,0.8110683560371399,0.7295842170715332,-7.562131827398844e-07,0.7404172420501709,0.6571600437164307,-0.030480816960334778,0.7349538803100586,0.5091902613639832,-0.046936701983213425,0.8101322650909424,0.4265747368335724,-0.06274337321519852,0.8655134439468384,0.3614465892314911,-0.07598689943552017,0.721107542514801,0.418459951877594,-0.016526807099580765,0.7069769501686096,0.33170872926712036,-0.06208711490035057,0.7114829421043396,0.41811293363571167,-0.09550292044878006,0.7194299101829529,0.5032227635383606,-0.11193091422319412,0.7841136455535889,0.4109763503074646,-0.022999346256256104,0.7619728446006775,0.30209124088287354,-0.06821084022521973,0.7583141326904297,0.40176939964294434,-0.08988358080387115,0.7611592411994934,0.49738091230392456,-0.09395802021026611,0.8483945727348328,0.4293094277381897,-0.03634165972471237,0.8362403512001038,0.31294846534729004,-0.08149804919958115,0.8202012777328491,0.41634222865104675,-0.08571302145719528,0.8085444569587708,0.5064402222633362,-0.07904718071222305,0.9073976278305054,0.4662049114704132,-0.0520089790225029,0.8718042373657227,0.43966853618621826,-0.09021129459142685,0.8441805839538574,0.5353013277053833,-0.09061285108327866,0.8283872604370117,0.6055552959442139,-0.08348274976015091
